Nom	Vitesse
Unite Ox	s
Unite Oy	m.s-1
Delta (Ox)	0.01
Delta (Oy)	-1.00
Nombre de points	100
0	0.00
1	0.11
2	0.42
3	0.86
4	1.47
5	2.21
6	3.05
7	3.92
8	4.77
9	5.63
10	6.42
11	7.03
12	7.45
13	7.64
14	7.63
15	7.45
16	7.07
17	6.59
18	6.02
19	5.42
20	4.86
21	4.36
22	3.89
23	3.45
24	3.13
25	2.93
26	2.86
27	2.89
28	3.03
29	3.25
30	3.54
31	3.86
32	4.19
33	4.51
34	4.81
35	5.09
36	5.35
37	5.56
38	5.72
39	5.81
40	5.84
41	5.81
42	5.75
43	5.66
44	5.54
45	5.40
46	5.26
47	5.11
48	4.96
49	4.83
50	4.71
51	4.59
52	4.47
53	4.37
54	4.29
55	4.23
56	4.20
57	4.18
58	4.19
59	4.20
60	4.22
61	4.25
62	4.28
63	4.31
64	4.33
65	4.35
66	4.37
67	4.38
68	4.39
69	4.40
70	4.40
71	4.40
72	4.40
73	4.40
74	4.40
75	4.40
76	4.40
77	4.40
78	4.40
79	4.40
80	4.40
81	4.40
82	4.40
83	4.40
84	4.40
85	4.40
86	4.40
87	4.40
88	4.40
89	4.40
90	4.40
91	4.40
92	4.40
93	4.40
94	4.40
95	4.40
96	4.40
97	4.40
98	4.40
99	4.40


