l,a,b,c
381,0.0978,0.1295,0.1104
382,0.0986,0.1345,0.1136
383,0.0989,0.1335,0.1126
384,0.0995,0.1409,0.1194
385,0.0994,0.144,0.1211
386,0.0955,0.1485,0.1231
387,0.0954,0.1499,0.1246
388,0.0948,0.1549,0.1247
389,0.0942,0.1597,0.1283
390,0.09,0.163,0.1309
391,0.0893,0.1647,0.1304
392,0.0863,0.1726,0.1342
393,0.0835,0.1756,0.1348
394,0.0823,0.1772,0.1349
395,0.0777,0.183,0.1381
396,0.075,0.1883,0.1401
397,0.0706,0.1918,0.1423
398,0.0686,0.1948,0.1424
399,0.0638,0.2008,0.1446
400,0.062,0.2059,0.1465
401,0.0569,0.2122,0.1504
402,0.0556,0.2143,0.1508
403,0.0503,0.2198,0.1528
404,0.047,0.2231,0.1536
405,0.0415,0.2298,0.156
406,0.0397,0.2312,0.1563
407,0.0363,0.2362,0.159
408,0.0334,0.2412,0.1595
409,0.0305,0.247,0.1625
410,0.0292,0.2487,0.1633
411,0.0269,0.253,0.166
412,0.0236,0.2576,0.1686
413,0.0234,0.2593,0.1686
414,0.0197,0.2644,0.1705
415,0.0196,0.2682,0.1733
416,0.0155,0.2726,0.1744
417,0.0166,0.2745,0.176
418,0.0158,0.2789,0.1795
419,0.0129,0.2818,0.1795
420,0.0131,0.2859,0.1825
421,0.0127,0.2873,0.1822
422,0.0111,0.291,0.184
423,0.0103,0.2929,0.1848
424,0.0103,0.2973,0.1873
425,0.0093,0.2978,0.1873
426,0.009,0.2998,0.1885
427,0.0097,0.3023,0.1907
428,0.0094,0.3042,0.192
429,0.0094,0.3051,0.1926
430,0.0088,0.3067,0.1929
431,0.0096,0.3077,0.1944
432,0.0094,0.3091,0.1953
433,0.0097,0.3097,0.1949
434,0.0098,0.3098,0.196
435,0.0099,0.3103,0.1958
436,0.01,0.3102,0.1955
437,0.0096,0.3099,0.1945
438,0.0103,0.3103,0.1954
439,0.0109,0.3105,0.196
440,0.0106,0.308,0.1949
441,0.0117,0.3086,0.1945
442,0.0122,0.3075,0.1938
443,0.0128,0.3065,0.1932
444,0.0138,0.3035,0.1929
445,0.0138,0.3037,0.1924
446,0.0143,0.301,0.1904
447,0.0149,0.2988,0.1898
448,0.0164,0.2976,0.189
449,0.0164,0.2961,0.1881
450,0.0172,0.2927,0.1865
451,0.019,0.2903,0.1848
452,0.019,0.2854,0.1818
453,0.0193,0.2855,0.182
454,0.0204,0.2809,0.1786
455,0.0218,0.2781,0.178
456,0.0232,0.2734,0.1751
457,0.0231,0.2718,0.1738
458,0.0237,0.267,0.171
459,0.0252,0.2627,0.169
460,0.0258,0.2568,0.1653
461,0.0269,0.2562,0.1642
462,0.0283,0.2506,0.1617
463,0.0294,0.2457,0.16
464,0.0314,0.2403,0.1558
465,0.032,0.2384,0.1549
466,0.0327,0.2329,0.1515
467,0.034,0.2274,0.149
468,0.0355,0.2222,0.1459
469,0.0359,0.2207,0.1452
470,0.0382,0.2133,0.1411
471,0.0394,0.209,0.1388
472,0.041,0.2022,0.1351
473,0.0432,0.196,0.132
474,0.0445,0.1957,0.1318
475,0.047,0.1882,0.1284
476,0.0481,0.1832,0.1261
477,0.0506,0.1769,0.1225
478,0.0511,0.1746,0.1213
479,0.0537,0.1688,0.1184
480,0.0563,0.1646,0.1164
481,0.0587,0.158,0.1125
482,0.0591,0.1562,0.1118
483,0.0621,0.1491,0.1072
484,0.0642,0.1451,0.1059
485,0.0676,0.1386,0.1025
486,0.0683,0.1366,0.1014
487,0.0712,0.1315,0.099
488,0.0738,0.1267,0.0969
489,0.0774,0.1214,0.0943
490,0.0807,0.1155,0.0918
491,0.0817,0.1138,0.0914
492,0.0851,0.1092,0.0891
493,0.0874,0.1046,0.0871
494,0.0914,0.0997,0.085
495,0.0926,0.0982,0.085
496,0.0969,0.0926,0.0829
497,0.0996,0.0892,0.0819
498,0.1032,0.0845,0.0801
499,0.1049,0.0832,0.0799
500,0.1083,0.0786,0.078
501,0.1135,0.0741,0.0764
502,0.1165,0.071,0.0754
503,0.1209,0.0676,0.0751
504,0.1221,0.0658,0.0741
505,0.1271,0.0626,0.0736
506,0.1311,0.0593,0.0732
507,0.1366,0.0558,0.0728
508,0.1373,0.0548,0.0721
509,0.1433,0.0513,0.0722
510,0.1469,0.049,0.0722
511,0.1522,0.0453,0.0715
512,0.1582,0.0425,0.0713
513,0.1599,0.0421,0.0717
514,0.1667,0.0385,0.0716
515,0.1711,0.0366,0.0723
516,0.1774,0.0342,0.0727
517,0.1797,0.0335,0.0727
518,0.1857,0.031,0.0737
519,0.193,0.0282,0.0743
520,0.1986,0.0272,0.0749
521,0.2054,0.0248,0.0761
522,0.2078,0.0241,0.0767
523,0.2153,0.0228,0.0779
524,0.221,0.0211,0.0786
525,0.2286,0.0194,0.0809
526,0.2306,0.0191,0.0813
527,0.2405,0.017,0.0826
528,0.2484,0.0162,0.0851
529,0.2548,0.0153,0.0861
530,0.2637,0.0134,0.0883
531,0.2659,0.0139,0.0894
532,0.2767,0.0124,0.092
533,0.2827,0.0117,0.0937
534,0.2916,0.0104,0.0963
535,0.302,0.0096,0.0982
536,0.3037,0.0092,0.0992
537,0.3158,0.008,0.1021
538,0.322,0.0078,0.1043
539,0.3317,0.007,0.1072
540,0.3425,0.0066,0.1107
541,0.3447,0.006,0.1106
542,0.3569,0.0052,0.1146
543,0.3633,0.005,0.1159
544,0.374,0.0044,0.1195
545,0.3782,0.0042,0.1212
546,0.3877,0.0037,0.1237
547,0.3998,0.0039,0.1278
548,0.4057,0.0035,0.1301
549,0.4163,0.0021,0.1324
550,0.421,0.0026,0.1343
551,0.43,0.0022,0.1371
552,0.4419,0.0015,0.1408
553,0.4487,0.0016,0.1433
554,0.4601,0.0017,0.147
555,0.4636,0.0013,0.1483
556,0.473,0.0011,0.1515
557,0.4869,0.0013,0.1559
558,0.4934,0.0011,0.158
559,0.505,7.00E-04,0.1612
560,0.5104,6.00E-04,0.1632
561,0.5213,6.00E-04,0.1675
562,0.5314,3.00E-04,0.1702
563,0.5451,3.00E-04,0.1754
564,0.5587,0,0.1797
565,0.5648,8.00E-04,0.182
566,0.5795,4.00E-04,0.1868
567,0.5965,0,0.1925
568,0.6074,0,0.1962
569,0.6259,0,0.202
570,0.6317,0,0.2046
571,0.6497,3.00E-04,0.211
572,0.6712,0,0.2181
573,0.6851,0,0.2225
574,0.7064,0,0.2296
575,0.7142,3.00E-04,0.2331
576,0.7349,3.00E-04,0.2399
577,0.7607,3.00E-04,0.2486
578,0.7765,3.00E-04,0.2535
579,0.7979,1.00E-04,0.2604
580,0.807,3.00E-04,0.2639
581,0.8296,3.00E-04,0.2718
582,0.8544,0,0.2798
583,0.8698,8.00E-04,0.2849
584,0.8876,9.00E-04,0.2912
585,0.9066,0.0016,0.2975
586,0.9098,0.0013,0.2987
587,0.9266,0.0016,0.3041
588,0.9335,0.0019,0.3071
589,0.9428,0.0019,0.3095
590,0.9473,0.0016,0.3112
591,0.9486,6.00E-04,0.3116
592,0.948,0.002,0.3113
593,0.9416,9.00E-04,0.3091
594,0.9357,0.0016,0.3076
595,0.9204,8.00E-04,0.3024
596,0.9144,3.00E-04,0.3006
597,0.8918,3.00E-04,0.2931
598,0.8687,2.00E-04,0.2854
599,0.8464,0.0016,0.2799
600,0.817,0.001,0.2698
601,0.7815,0.0012,0.2581
602,0.7647,5.00E-04,0.252
603,0.7329,0,0.2407
604,0.6822,0,0.2244
605,0.6597,0,0.2173
606,0.6141,0,0.2012
607,0.5944,0,0.1951
608,0.5572,0,0.1819
609,0.5077,0,0.165
610,0.4878,0,0.1577
611,0.4456,0,0.1429
612,0.408,0,0.1303
613,0.3946,0,0.1256
614,0.3552,0,0.1114
615,0.3257,0,0.1003
616,0.3045,0,0.093
617,0.2759,0,0.0833
618,0.2497,0,0.0737
619,0.2367,0,0.0689
620,0.2148,0,0.0612
621,0.1896,0,0.0517
622,0.1796,0,0.048
623,0.1599,0,0.0405
624,0.1426,0,0.0348
625,0.1381,0,0.0334
626,0.1211,0,0.027
627,0.1092,0,0.0225
628,0.1005,0,0.0195
629,0.0898,0,0.0161
630,0.0799,0,0.0128
631,0.0753,0,0.0114
632,0.0667,0,0.0079
633,0.0583,0,0.0052
634,0.0548,0,0.004
635,0.0479,0,0.001
636,0.0422,0,0
637,0.0419,0,0
638,0.0355,0,0
639,0.0325,0,0
640,0.0293,0,0
641,0.0234,0,0
