?	Brute_E
nm	s.u
 365,172	 214,009
 365,344	 141,436
 365,517	 105,727
 365,689	 204,980
 365,862	 121,476
 366,034	 331,556
 366,207	 134,373
 366,379	 142,794
 366,552	 179,688
 366,724	 164,501
 366,897	 107,452
 367,069	 218,350
 367,242	 117,582
 367,415	 93,416
 367,587	 101,383
 367,760	 158,360
 367,932	 178,311
 368,105	 192,072
 368,277	 187,647
 368,450	 164,076
 368,622	 147,474
 368,795	 190,300
 368,967	 240,397
 369,140	 172,969
 369,312	 207,177
 369,485	 151,818
 369,658	 155,314
 369,830	 190,148
 370,003	 211,202
 370,175	 208,280
 370,348	 119,213
 370,520	 145,310
 370,693	 208,148
 370,865	 244,047
 371,038	 185,066
 371,210	 285,422
 371,383	 181,644
 371,555	 130,315
 371,728	 237,903
 371,901	 155,888
 372,073	 192,583
 372,246	 200,222
 372,418	 124,581
 372,591	 148,961
 372,763	 279,388
 372,936	 153,051
 373,108	 148,294
 373,281	 178,118
 373,453	 109,148
 373,626	 175,265
 373,798	 216,927
 373,971	 230,151
 374,143	 166,857
 374,316	 189,408
 374,489	 172,002
 374,661	 154,698
 374,834	 178,061
 375,006	 164,548
 375,179	 136,578
 375,351	 304,327
 375,524	 144,280
 375,696	 169,287
 375,869	 154,589
 376,041	 218,064
 376,214	 113,023
 376,386	 154,555
 376,559	 133,097
 376,731	 201,860
 376,904	 132,025
 377,076	 177,813
 377,249	 144,400
 377,421	 185,189
 377,594	 237,340
 377,767	 144,801
 377,939	 255,522
 378,112	 157,032
 378,284	 133,692
 378,457	 93,632
 378,629	 277,902
 378,802	 191,028
 378,974	 120,664
 379,147	 159,138
 379,319	 110,322
 379,492	 149,411
 379,664	 179,606
 379,837	 219,474
 380,009	 130,552
 380,182	 129,212
 380,354	 154,948
 380,527	 200,669
 380,699	 241,495
 380,872	 111,660
 381,044	 138,838
 381,217	 186,484
 381,390	 225,088
 381,562	 168,545
 381,735	 177,960
 381,907	 135,657
 382,080	 166,453
 382,252	 122,558
 382,425	 106,496
 382,597	 135,220
 382,770	 130,981
 382,942	 214,791
 383,115	 180,145
 383,287	 199,953
 383,460	 196,956
 383,632	 152,489
 383,805	 96,863
 383,977	 139,500
 384,150	 136,062
 384,322	 109,548
 384,495	 140,524
 384,667	 155,071
 384,840	 169,080
 385,012	 202,397
 385,185	 140,362
 385,357	 156,408
 385,530	 163,481
 385,702	 209,289
 385,875	 134,861
 386,047	 188,301
 386,220	 122,211
 386,393	 125,840
 386,565	 224,840
 386,738	 97,249
 386,910	 145,098
 387,083	 163,586
 387,255	 153,268
 387,428	 118,918
 387,600	 99,543
 387,773	 196,361
 387,945	 205,333
 388,118	 117,637
 388,290	 130,382
 388,463	 165,356
 388,635	 110,443
 388,808	 130,996
 388,980	 151,781
 389,153	 172,640
 389,325	 143,018
 389,498	 135,636
 389,670	 173,404
 389,843	 109,718
 390,015	 100,275
 390,188	 97,252
 390,360	 140,835
 390,533	 159,774
 390,705	 126,433
 390,878	 181,220
 391,050	 130,646
 391,223	 120,204
 391,395	 147,923
 391,568	 101,221
 391,740	 130,667
 391,913	 196,145
 392,085	 137,992
 392,258	 136,394
 392,430	 93,715
 392,603	 126,290
 392,775	 175,888
 392,948	 121,928
 393,120	 132,119
 393,293	 128,260
 393,465	 132,105
 393,638	 56,440
 393,810	 113,488
 393,983	 155,228
 394,155	 129,317
 394,328	 110,854
 394,500	 165,990
 394,673	 161,686
 394,845	 123,932
 395,018	 97,230
 395,190	 92,321
 395,363	 120,022
 395,535	 142,546
 395,708	 153,291
 395,880	 120,260
 396,053	 98,611
 396,225	 112,526
 396,398	 100,155
 396,570	 96,540
 396,743	 120,997
 396,915	 112,634
 397,088	 115,022
 397,260	 181,060
 397,433	 102,478
 397,605	 149,002
 397,778	 127,808
 397,950	 145,862
 398,123	 98,646
 398,295	 112,344
 398,468	 127,643
 398,640	 97,587
 398,813	 108,338
 398,985	 137,148
 399,158	 121,370
 399,330	 131,316
 399,503	 106,281
 399,675	 136,681
 399,848	 151,224
 400,020	 109,996
 400,193	 141,587
 400,365	 106,189
 400,538	 92,790
 400,710	 105,196
 400,883	 148,185
 401,055	 159,776
 401,228	 90,496
 401,400	 151,116
 401,573	 121,984
 401,745	 121,490
 401,918	 89,745
 402,090	 126,377
 402,263	 102,737
 402,435	 93,682
 402,608	 136,139
 402,780	 144,690
 402,953	 116,312
 403,125	 97,825
 403,298	 141,377
 403,470	 109,444
 403,643	 14,989
 403,815	 140,251
 403,988	 94,478
 404,160	 148,474
 404,332	 142,019
 404,505	 144,019
 404,677	 120,735
 404,850	 99,382
 405,022	 91,366
 405,195	 109,840
 405,367	 155,792
 405,540	 105,024
 405,712	 62,161
 405,885	 132,958
 406,057	 149,764
 406,230	 164,211
 406,402	 113,703
 406,575	 118,149
 406,747	 109,908
 406,920	 124,086
 407,092	 72,561
 407,265	 114,648
 407,437	 110,369
 407,610	 134,736
 407,782	 128,675
 407,955	 108,188
 408,127	 103,739
 408,300	 99,859
 408,472	 116,772
 408,645	 108,881
 408,817	 88,090
 408,990	 96,593
 409,162	 86,769
 409,334	 115,142
 409,507	 79,968
 409,679	 89,818
 409,852	 81,505
 410,024	 91,854
 410,197	 112,123
 410,369	 124,002
 410,542	 136,585
 410,714	 118,423
 410,887	 101,295
 411,059	 113,771
 411,232	 103,830
 411,404	 140,902
 411,577	 91,743
 411,749	 140,732
 411,922	 120,124
 412,094	 89,842
 412,267	 81,758
 412,439	 110,386
 412,612	 103,650
 412,784	 119,884
 412,957	 95,163
 413,129	 132,634
 413,301	 91,143
 413,474	 128,316
 413,646	 93,700
 413,819	 91,869
 413,991	 147,890
 414,164	 108,238
 414,336	 79,754
 414,509	 99,695
 414,681	 275,944
 414,854	 141,650
 415,026	 151,217
 415,199	 89,967
 415,371	 100,033
 415,544	 122,431
 415,716	 82,290
 415,889	 82,750
 416,061	 92,574
 416,233	 77,921
 416,406	 120,956
 416,578	 116,486
 416,751	 126,954
 416,923	 90,919
 417,096	 76,596
 417,268	 94,110
 417,441	 111,134
 417,613	 69,157
 417,786	 95,680
 417,958	 134,438
 418,131	 119,086
 418,303	 83,850
 418,476	 112,920
 418,648	 121,996
 418,820	 90,368
 418,993	 96,650
 419,165	 92,739
 419,338	 112,433
 419,510	 71,517
 419,683	 126,023
 419,855	 138,070
 420,028	 123,789
 420,200	 76,243
 420,373	 102,210
 420,545	 114,260
 420,718	 112,057
 420,890	 111,878
 421,063	 108,986
 421,235	 76,998
 421,407	 135,459
 421,580	 110,851
 421,752	 94,556
 421,925	 70,011
 422,097	 102,334
 422,270	 92,882
 422,442	 80,496
 422,615	 142,754
 422,787	 113,721
 422,960	 71,308
 423,132	 108,706
 423,305	 94,881
 423,477	 98,591
 423,649	 75,542
 423,822	 89,209
 423,994	 104,013
 424,167	 91,303
 424,339	 126,959
 424,512	 78,454
 424,684	 88,214
 424,857	 95,665
 425,029	 111,796
 425,202	 135,048
 425,374	 113,721
 425,546	 103,460
 425,719	 63,556
 425,891	 109,537
 426,064	 108,475
 426,236	 65,933
 426,409	 60,986
 426,581	 75,740
 426,754	 140,500
 426,926	 103,233
 427,099	 105,788
 427,271	 99,336
 427,443	 92,361
 427,616	 113,352
 427,788	 94,619
 427,961	 78,585
 428,133	 107,286
 428,306	 82,635
 428,478	 79,102
 428,651	 92,421
 428,823	 87,182
 428,996	 99,619
 429,168	 76,500
 429,340	 75,476
 429,513	 84,515
 429,685	 109,517
 429,858	 102,992
 430,030	 89,818
 430,203	 71,351
 430,375	 87,961
 430,548	 70,618
 430,720	 112,338
 430,892	 93,424
 431,065	 107,418
 431,237	 109,869
 431,410	 126,338
 431,582	 102,356
 431,755	 125,392
 431,927	 93,735
 432,100	 82,989
 432,272	 64,857
 432,444	 74,917
 432,617	 85,080
 432,789	 77,357
 432,962	 80,103
 433,134	 86,387
 433,307	 84,682
 433,479	 111,993
 433,652	 111,967
 433,824	 70,750
 433,996	 134,307
 434,169	 98,853
 434,341	 81,260
 434,514	 86,248
 434,686	 87,853
 434,859	 104,340
 435,031	 91,717
 435,204	 92,057
 435,376	 104,614
 435,548	 93,261
 435,721	 54,054
 435,893	 78,935
 436,066	 118,966
 436,238	 91,698
 436,411	 98,592
 436,583	 117,347
 436,756	 105,619
 436,928	 110,401
 437,100	 107,393
 437,273	 99,441
 437,445	 117,209
 437,618	 105,734
 437,790	 94,022
 437,963	 114,112
 438,135	 102,815
 438,308	 121,730
 438,480	 65,029
 438,652	 93,133
 438,825	 90,169
 438,997	 89,234
 439,170	 91,733
 439,342	 70,284
 439,515	 76,426
 439,687	 93,503
 439,859	 90,505
 440,032	 83,896
 440,204	 89,105
 440,377	 94,315
 440,549	 80,691
 440,722	 63,031
 440,894	 84,925
 441,066	 90,181
 441,239	 85,795
 441,411	 109,129
 441,584	 84,070
 441,756	 117,313
 441,929	 93,227
 442,101	 91,083
 442,273	 79,787
 442,446	 100,131
 442,618	 103,784
 442,791	 95,196
 442,963	 81,949
 443,136	 74,078
 443,308	 121,096
 443,481	 71,265
 443,653	 99,862
 443,825	 74,056
 443,998	 69,815
 444,170	 61,163
 444,343	 90,268
 444,515	 92,820
 444,688	 81,167
 444,860	 84,001
 445,032	 80,586
 445,205	 75,796
 445,377	 103,475
 445,550	 86,136
 445,722	 122,845
 445,895	 87,434
 446,067	 85,261
 446,239	 68,719
 446,412	 77,473
 446,584	 81,441
 446,757	 63,204
 446,929	 73,479
 447,101	 59,055
 447,274	 100,506
 447,446	 90,903
 447,619	 90,593
 447,791	 80,467
 447,964	 76,930
 448,136	 81,978
 448,308	 74,073
 448,481	 74,353
 448,653	 68,637
 448,826	 107,893
 448,998	 81,839
 449,171	 83,042
 449,343	 64,450
 449,515	 83,889
 449,688	 76,148
 449,860	 82,997
 450,033	 85,231
 450,205	 81,545
 450,377	 107,014
 450,550	 62,827
 450,722	 85,850
 450,895	 62,752
 451,067	 75,310
 451,240	 92,494
 451,412	 93,015
 451,584	 66,367
 451,757	 77,519
 451,929	 107,030
 452,102	 104,898
 452,274	 58,043
 452,447	 52,346
 452,619	 65,871
 452,791	 86,674
 452,964	 71,758
 453,136	 75,832
 453,309	 88,459
 453,481	 98,509
 453,653	 91,472
 453,826	 87,993
 453,998	 91,483
 454,171	 67,827
 454,343	 69,461
 454,515	 86,141
 454,688	 71,278
 454,860	 61,346
 455,033	 63,676
 455,205	 86,898
 455,378	 92,045
 455,550	 104,983
 455,722	 82,897
 455,895	 103,861
 456,067	 79,822
 456,240	 85,212
 456,412	 68,824
 456,584	 68,070
 456,757	 73,188
 456,929	 83,892
 457,102	 106,784
 457,274	 80,648
 457,446	 85,998
 457,619	 23,944
 457,791	 54,225
 457,964	 74,213
 458,136	 88,373
 458,309	 62,968
 458,481	 72,676
 458,653	 92,391
 458,826	 63,191
 458,998	 55,334
 459,171	 77,824
 459,343	 79,591
 459,515	 77,259
 459,688	 87,581
 459,860	 93,844
 460,033	 57,959
 460,205	 76,587
 460,377	 78,121
 460,550	 70,131
 460,722	 90,474
 460,895	 72,030
 461,067	 64,683
 461,239	 79,703
 461,412	 85,026
 461,584	 81,154
 461,757	 66,917
 461,929	 84,022
 462,101	 81,346
 462,274	 77,308
 462,446	 72,084
 462,619	 70,055
 462,791	 81,490
 462,963	 83,224
 463,136	 89,290
 463,308	 85,883
 463,481	 90,692
 463,653	 77,831
 463,825	 77,092
 463,998	 86,887
 464,170	 86,878
 464,343	 83,328
 464,515	 75,417
 464,687	 95,115
 464,860	 84,054
 465,032	 85,866
 465,205	 71,289
 465,377	 75,503
 465,549	 70,472
 465,722	 79,844
 465,894	 98,942
 466,067	 92,246
 466,239	 73,324
 466,411	 66,691
 466,584	 78,088
 466,756	 83,915
 466,929	 75,008
 467,101	 88,781
 467,273	 70,780
 467,446	 76,144
 467,618	 71,046
 467,791	 77,954
 467,963	 84,953
 468,135	 86,669
 468,308	 82,631
 468,480	 96,179
 468,653	 85,295
 468,825	 75,058
 468,997	 79,393
 469,170	 69,258
 469,342	 73,005
 469,515	 79,296
 469,687	 93,055
 469,859	 61,885
 470,032	 85,299
 470,204	 74,396
 470,376	 63,583
 470,549	 82,183
 470,721	 87,917
 470,894	 102,435
 471,066	 70,924
 471,238	 82,714
 471,411	 97,630
 471,583	 69,238
 471,756	 92,611
 471,928	 104,730
 472,100	 88,546
 472,273	 80,844
 472,445	 81,892
 472,618	 96,819
 472,790	 104,743
 472,962	 84,101
 473,135	 76,564
 473,307	 86,653
 473,479	 94,763
 473,652	 79,601
 473,824	 86,423
 473,997	 73,210
 474,169	 88,005
 474,341	 85,246
 474,514	 96,906
 474,686	 96,283
 474,859	 88,705
 475,031	 70,303
 475,203	 92,579
 475,376	 70,766
 475,548	 76,282
 475,720	 74,340
 475,893	 91,901
 476,065	 73,122
 476,238	 70,510
 476,410	 74,710
 476,582	 83,070
 476,755	 94,402
 476,927	 68,814
 477,100	 82,333
 477,272	 87,385
 477,444	 78,217
 477,617	 77,758
 477,789	 89,730
 477,961	 78,643
 478,134	 74,540
 478,306	 101,836
 478,479	 78,348
 478,651	 74,533
 478,823	 81,378
 478,996	 78,650
 479,168	 79,422
 479,340	 82,722
 479,513	 84,959
 479,685	 90,646
 479,858	 81,355
 480,030	 87,211
 480,202	 98,004
 480,375	 87,322
 480,547	 69,792
 480,719	 72,268
 480,892	 77,404
 481,064	 73,171
 481,237	 66,708
 481,409	 82,691
 481,581	 88,348
 481,754	 105,595
 481,926	 110,935
 482,098	 77,897
 482,271	 83,766
 482,443	 87,825
 482,616	 86,744
 482,788	 72,754
 482,960	 61,447
 483,133	 92,649
 483,305	 97,776
 483,477	 80,722
 483,650	 69,806
 483,822	 89,640
 483,995	 98,718
 484,167	 99,608
 484,339	 87,556
 484,512	 95,484
 484,684	 90,642
 484,856	 98,282
 485,029	 92,599
 485,201	 85,631
 485,374	 97,508
 485,546	 92,492
 485,718	 79,774
 485,891	 91,020
 486,063	 85,040
 486,235	 89,149
 486,408	 89,852
 486,580	 89,687
 486,752	 86,951
 486,925	 102,302
 487,097	 88,677
 487,270	 90,724
 487,442	 86,610
 487,614	 87,811
 487,787	 90,316
 487,959	 99,399
 488,131	 82,232
 488,304	 87,681
 488,476	 92,231
 488,648	 81,759
 488,821	 90,405
 488,993	 88,356
 489,166	 96,001
 489,338	 89,633
 489,510	 89,201
 489,683	 79,778
 489,855	 95,384
 490,027	 93,643
 490,200	 78,063
 490,372	 83,856
 490,544	 93,260
 490,717	 103,069
 490,889	 108,237
 491,062	 102,815
 491,234	 91,973
 491,406	 90,133
 491,579	 87,473
 491,751	 97,674
 491,923	 80,172
 492,096	 89,527
 492,268	 91,707
 492,440	 77,125
 492,613	 92,262
 492,785	 80,899
 492,957	 82,949
 493,130	 100,447
 493,302	 87,586
 493,475	 84,900
 493,647	 99,893
 493,819	 96,128
 493,992	 115,867
 494,164	 97,580
 494,336	 96,442
 494,509	 84,418
 494,681	 95,675
 494,853	 94,978
 495,026	 93,601
 495,198	 101,772
 495,370	 94,139
 495,543	 89,193
 495,715	 92,851
 495,888	 96,056
 496,060	 84,762
 496,232	 98,283
 496,405	 90,100
 496,577	 98,912
 496,749	 99,751
 496,922	 108,953
 497,094	 91,735
 497,266	 97,720
 497,439	 84,943
 497,611	 97,013
 497,783	 82,245
 497,956	 94,680
 498,128	 96,597
 498,300	 100,447
 498,473	 84,726
 498,645	 97,697
 498,817	 107,342
 498,990	 97,196
 499,162	 105,260
 499,335	 85,939
 499,507	 96,963
 499,679	 92,263
 499,852	 105,456
 500,024	 108,961
 500,196	 95,010
 500,369	 99,602
 500,541	 97,951
 500,713	 108,383
