Contrôle de série	Contrôle de série	Contrôle de série	Contrôle de série	Contrôle de série	Contrôle de série	Contrôle de série	Contrôle de série	Contrôle de série
Temps (s)	Force (n)	Accélération - x (m/s²)	Accélération - y (m/s²)	Accélération-  z (m/s²)	Accélération - résultante (m/s²)	Vitesse angulaire - x (rad/s)	Vitesse angulaire - y (rad/s)	Vitesse angulaire - z (rad/s)
0,000	1,60	70,5	5,2	6,9	71,1	1,4	-0,3	28,2
0,050	1,60	68,5	5,1	6,7	69,0	1,4	-0,3	27,8
0,100	1,61	66,2	4,9	6,8	66,7	1,3	-0,3	27,3
0,150	1,62	64,3	4,8	6,8	64,8	1,3	-0,2	26,9
0,200	1,63	62,7	4,7	7,1	63,3	1,3	-0,3	26,6
0,250	1,64	60,9	4,6	7,4	61,6	1,3	-0,3	26,2
0,300	1,64	59,2	4,5	7,3	59,8	1,2	-0,3	25,8
0,350	1,65	57,2	4,3	7,3	57,8	1,2	-0,3	25,4
0,400	1,67	55,7	4,2	7,3	56,3	1,2	-0,2	25,1
0,450	1,67	54,2	4,1	7,7	54,9	1,2	-0,2	24,8
0,500	1,67	52,9	4,1	7,8	53,6	1,1	-0,3	24,4
0,550	1,68	51,3	4,0	7,7	52,0	1,1	-0,3	24,1
0,600	1,68	49,7	3,8	7,6	50,4	1,1	-0,3	23,7
0,650	1,70	48,3	3,6	7,8	49,1	1,1	-0,2	23,4
0,700	1,69	47,1	3,5	8,0	47,9	1,0	-0,2	23,1
0,750	1,70	45,8	3,6	8,1	46,7	1,0	-0,3	22,8
0,800	1,71	44,6	3,4	8,0	45,4	1,0	-0,3	22,4
0,850	1,71	43,2	3,4	7,9	44,1	1,0	-0,2	22,1
0,900	1,72	42,0	3,2	8,2	42,9	1,0	-0,2	21,8
0,950	1,72	40,8	3,0	8,3	41,8	1,0	-0,2	21,5
1,000	1,73	39,7	3,0	8,3	40,7	0,9	-0,2	21,2
1,050	1,73	38,6	3,0	8,2	39,6	0,9	-0,2	20,9
1,100	1,74	37,6	3,0	8,3	38,6	0,9	-0,2	20,6
1,150	1,74	36,5	2,9	8,5	37,6	0,9	-0,2	20,3
1,200	1,75	35,4	2,7	8,6	36,5	0,9	-0,2	20,0
1,250	1,75	34,4	2,6	8,5	35,5	0,8	-0,2	19,7
1,300	1,76	33,4	2,5	8,4	34,5	0,8	-0,2	19,4
1,350	1,76	32,5	2,6	8,6	33,8	0,8	-0,2	19,2
1,400	1,76	31,7	2,5	8,8	33,0	0,8	-0,2	18,9
1,450	1,77	30,8	2,4	8,7	32,1	0,8	-0,2	18,6
1,500	1,78	29,7	2,3	8,6	31,0	0,8	-0,2	18,3
1,550	1,78	28,8	2,3	8,7	30,2	0,7	-0,2	18,0
1,600	1,78	28,1	2,1	8,9	29,6	0,7	-0,2	17,8
1,650	1,78	27,3	2,1	9,0	28,8	0,7	-0,2	17,6
1,700	1,79	26,6	2,1	8,8	28,1	0,7	-0,2	17,3
1,750	1,80	25,8	2,1	8,8	27,3	0,7	-0,2	17,1
1,800	1,81	25,1	2,1	9,0	26,7	0,7	-0,2	16,8
1,850	1,80	24,3	1,9	9,1	26,0	0,7	-0,2	16,5
1,900	1,81	23,5	1,8	9,0	25,2	0,6	-0,2	16,2
1,950	1,81	22,7	1,8	8,9	24,4	0,6	-0,2	16,0
2,000	1,81	22,1	1,7	9,0	23,9	0,6	-0,2	15,8
2,050	1,82	21,5	1,7	9,2	23,5	0,6	-0,2	15,6
2,100	1,82	20,8	1,7	9,2	22,8	0,6	-0,2	15,3
2,150	1,81	20,2	1,6	9,1	22,2	0,6	-0,2	15,1
2,200	1,81	19,8	1,6	9,1	21,9	0,6	-0,1	14,8
2,250	1,82	19,0	1,5	9,2	21,1	0,6	-0,1	14,6
2,300	1,82	18,4	1,6	9,3	20,6	0,6	-0,2	14,3
2,350	1,83	17,8	1,4	9,2	20,1	0,5	-0,2	14,1
2,400	1,82	17,1	1,3	9,2	19,4	0,5	-0,1	13,9
2,450	1,83	16,8	1,4	9,3	19,2	0,5	-0,1	13,7
2,500	1,83	16,2	1,3	9,4	18,8	0,5	-0,2	13,5
2,550	1,83	15,8	1,4	9,2	18,3	0,5	-0,2	13,3
2,600	1,83	15,3	1,3	9,3	17,9	0,5	-0,1	13,1
2,650	1,84	14,8	1,2	9,4	17,6	0,5	-0,1	12,9
2,700	1,85	14,4	1,2	9,4	17,2	0,5	-0,1	12,6
2,750	1,85	13,7	1,1	9,3	16,6	0,5	-0,1	12,4
2,800	1,84	13,3	1,1	9,4	16,3	0,5	-0,1	12,2
2,850	1,85	12,7	1,0	9,4	15,9	0,5	-0,1	12,0
2,900	1,85	12,4	1,0	9,5	15,6	0,4	-0,1	11,8
2,950	1,85	12,0	1,0	9,5	15,3	0,4	-0,1	11,6
3,000	1,85	11,6	1,0	9,4	15,0	0,4	-0,1	11,4
3,050	1,86	11,3	1,0	9,4	14,7	0,4	-0,1	11,2
3,100	1,86	10,9	1,0	9,5	14,5	0,4	-0,1	11,0
3,150	1,86	10,6	0,9	9,5	14,3	0,4	-0,1	10,8
3,200	1,86	10,2	0,9	9,5	13,9	0,4	-0,1	10,6
3,250	1,86	9,8	0,9	9,5	13,7	0,4	-0,1	10,4
3,300	1,86	9,4	0,8	9,6	13,4	0,4	-0,1	10,2
3,350	1,86	9,1	0,7	9,6	13,2	0,4	-0,1	10,0
3,400	1,86	8,7	0,7	9,5	12,9	0,4	-0,1	9,8
3,450	1,86	8,3	0,7	9,5	12,6	0,4	-0,1	9,6
3,500	1,86	8,0	0,7	9,6	12,6	0,3	-0,1	9,4
3,550	1,87	7,7	0,7	9,7	12,4	0,3	-0,1	9,2
3,600	1,87	7,4	0,7	9,6	12,1	0,3	-0,1	9,1
3,650	1,88	7,2	0,7	9,6	12,0	0,3	-0,1	8,9
3,700	1,87	6,9	0,6	9,7	11,9	0,3	-0,1	8,7
3,750	1,88	6,7	0,6	9,7	11,8	0,3	-0,1	8,5
3,800	1,88	6,5	0,6	9,6	11,6	0,3	-0,1	8,4
3,850	1,88	6,2	0,6	9,6	11,4	0,3	-0,1	8,2
3,900	1,88	6,0	0,6	9,7	11,4	0,3	-0,1	8,0
3,950	1,88	5,7	0,6	9,7	11,3	0,3	-0,1	7,8
4,000	1,88	5,4	0,5	9,7	11,1	0,3	-0,1	7,6
4,050	1,89	5,1	0,5	9,6	10,9	0,3	-0,1	7,4
4,100	1,89	4,9	0,4	9,7	10,9	0,3	-0,1	7,2
4,150	1,89	4,6	0,4	9,8	10,8	0,3	-0,1	7,0
4,200	1,89	4,4	0,4	9,7	10,7	0,3	-0,1	6,9
4,250	1,88	4,2	0,4	9,7	10,5	0,2	-0,1	6,7
4,300	1,89	4,0	0,4	9,7	10,5	0,2	-0,1	6,5
4,350	1,90	3,8	0,4	9,8	10,5	0,2	-0,1	6,4
4,400	1,90	3,6	0,4	9,7	10,4	0,2	-0,1	6,2
4,450	1,89	3,5	0,4	9,7	10,3	0,2	-0,1	6,1
4,500	1,89	3,3	0,4	9,8	10,3	0,2	-0,1	5,9
4,550	1,89	3,2	0,4	9,8	10,3	0,2	-0,1	5,7
4,600	1,89	3,0	0,4	9,7	10,2	0,2	-0,1	5,6
4,650	1,89	2,9	0,4	9,7	10,1	0,2	-0,1	5,4
4,700	1,89	2,7	0,4	9,8	10,1	0,2	-0,1	5,3
4,750	1,90	2,6	0,4	9,8	10,2	0,2	-0,1	5,1
4,800	1,90	2,5	0,3	9,7	10,1	0,2	-0,1	5,0
4,850	1,89	2,4	0,3	9,7	10,0	0,2	-0,1	4,8
4,900	1,90	2,2	0,3	9,7	10,0	0,2	-0,1	4,6
4,950	1,89	2,1	0,3	9,8	10,0	0,2	-0,1	4,5
5,000	1,90	1,9	0,2	9,8	10,0	0,2	-0,1	4,3
5,050	1,90	1,8	0,2	9,7	9,9	0,2	-0,1	4,1
5,100	1,90	1,7	0,2	9,8	9,9	0,1	0,0	3,9
5,150	1,90	1,6	0,2	9,8	9,9	0,1	0,0	3,8
5,200	1,90	1,4	0,2	9,8	9,9	0,1	-0,1	3,6
5,250	1,91	1,3	0,2	9,8	9,9	0,1	0,0	3,4
5,300	1,91	1,2	0,2	9,8	9,9	0,1	0,0	3,2
5,350	1,90	1,1	0,2	9,8	9,9	0,1	0,0	3,1
5,400	1,91	1,0	0,2	9,8	9,8	0,1	0,0	2,9
5,450	1,91	0,9	0,2	9,8	9,8	0,1	0,0	2,7
5,500	1,91	0,8	0,1	9,8	9,8	0,1	0,0	2,6
5,550	1,91	0,8	0,2	9,8	9,9	0,1	0,0	2,4
5,600	1,91	0,7	0,2	9,8	9,8	0,1	0,0	2,3
5,650	1,91	0,6	0,2	9,8	9,8	0,1	0,0	2,1
5,700	1,91	0,5	0,2	9,8	9,8	0,1	0,0	1,9
5,750	1,91	0,5	0,2	9,8	9,8	0,1	0,0	1,8
5,800	1,91	0,4	0,2	9,9	9,9	0,1	0,0	1,6
5,850	1,91	0,4	0,2	9,8	9,8	0,1	0,0	1,4
5,900	1,91	0,3	0,2	9,8	9,8	0,1	0,0	1,2
